Date,Year,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max)(kg),Hospital Names,Temperature(C),Temperature(F)
2004-07-28,2004,11 Jumaada al-THaany 1425 A.H,Working Day,,8:50:PM,kohat,33.5833,71.4333,kpk,Near military facility/official Residence of General Officer Commanding,residence,high,closed,Army,military,,2,3,,3,2,0.0,['cmh kohat'],32.43,90.374
2004-07-30,2004,13 Jumaada al-THaany 1425 A.H,Working Day,,7:20 PM,attock,33.7645,72.3667,punjab, Mr Aziz election rally in jaffar village in fateh jang,parks_grounds,low,open,Election rally ,government official,,,7,44,70,1,0.0,"['district headquarters hospital', 'rwp pims hospital  tehsil headquarters hospital', 'fateh jang']",26.665,79.997
2004-10-01,2004,17 SHa`baan 1425 A.H,Working Day,,"1:27 PM,1:25 PM",sialkot,32.4972,74.5361,punjab,zainabia mosque-just a Km away from city Police & Rangers station on Raja road,religious,medium,closed,Friday prayer,religious,shiite,25,31,50,75,1,0.0,"['allama iqbal memorial dhq hospital', 'sardar begum hospital', '', ' numner of other hospitals in sialkot', 'daska', 'gujranwala ', ' lahore']",27.51,81.518
2004-10-10,2004,26 SHa`baan 1425 A.H.,Holiday,weekend,"5:55:00,6:40:00 PM",lahore,31.5451,74.3407,punjab,Jamia Masjid Kashmirian in Mochi Gate,religious,medium,closed,Jamia Masjid /Shia Mosque,religious,shiite,4,5,6,10,1,0.0,['mayo hospital'],24.39,75.902
2005-03-19,2005,9 safar 1426 A.H,Working Day,,"11.45PM,10.30 pm",quetta,30.2095,67.0182,balochistan,Gandava Town Shrine,religious,medium,closed,Urs Ceremony,religious,shiite,25,50,8,100,1,0.0,,16.5,61.7
2005-04-28,2005,19 Raby` al-awal 1426 A.H,Working Day,,,swat,35.2227,72.4258,kpk,Baidara village of Matta-District Swat,parks_grounds,low,open,,civilian,,,2,,,1,0.0,,19.935,67.883
2005-05-27,2005,19 Raby` al-THaany 1426 A.H,Working Day,,11:00:00 AM,islamabad,33.718,73.0718,capital,Shrine of Bari Imam,religious,medium,closed,"Shia Muslim Annual 
Congregation ",civilian,shiite_sunni,20,25,82,100,1,0.0,[' pims polyclinic cda hospital federal govt services rwp generl hosp'],27.16,80.888
2005-05-30,2005,22 Raby` al-THaany 1426 A.H,Working Day,,evening,karachi,24.9918,66.9911,sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ,religious,medium,closed,evening prayer,religious,shiite,5,6,19,30,1,0.0,[' patel hospital  jmpc'],31.945,89.501
2006-02-09,2006,10 MuHarram 1427 A.H,Holiday,ashura,9:35:00 AM,hangu,33.5351,71.0713,kpk,Hangu-Tall road-Ashura Procession,parks_grounds,low,open,Ashura Day,religious,shiite,37,40,90,,1,0.0,['hangu hospital'],15.495,59.891
2006-03-02,2006,2 safar 1427 A.H.,Working Day,,9:00:00 AM,karachi,24.9918,66.9911,sindh,Infront of USA consulate near marriott hotel,hotel,medium,open,Terrorists attacked convoy of david foy-american diplomat.,foreigner,christian,4,5,30,54,1,12.5,,25.3,77.54
2006-04-12,2006,14 Raby` al-awal 1427 A.H,Holiday,eid milad un-nabi,7.00 pm,karachi,24.9918,66.9911,sindh,Nishter Park ,parks_grounds,medium,open,Eid Miladun Nabi,religious,sunni,47,57,,100,1,5.0,[' liaquat national hospital  civil hospital khi  jpmc  abbasi shaheed hospital'],28.415,83.147
2006-06-02,2006,6 Jumaada al-awal 1427 A.H,Working Day,,10.30 am,bannu,32.9861,70.6042,kpk,Bakkahel Area of FR Bannu,attack on Convoy,high,open,Army convoy ,military,,6,7,7,8,1,0.0,[' combined military  hospital peshawar'],26.125,79.025
2006-06-26,2006,30 Jumaada al-awal 1427 A.H,Working Day,,3:30:00 PM,waziristan,32.9746,70.1456,fata,"Aisha Checkpoint-10km East of 
Miranshah",military,high,open,,military,,6,7,,26,1,0.0,,28.61,83.498
2006-08-06,2006,12 Rajab 1427 A.H,Holiday,weekend,8.00 am,lasbela,25.8377,66.5224,balochistan,"Zehri Street-Main Market
Hub",market,low,open,,civilian,,,1,,0,1,0.0,,27.5,81.5
2006-11-08,2006,17 SHawwal 1427 A.H,Working Day,,8.30am,malakand,34.503,71.9046,kpk,Dargai Military Base-100km north of Peshawar,military,high,open,Recruits parade,military,,40,42,20,39,1,0.0,[' cmh mardan cmh peshawar'],19.205,66.569
2006-11-17,2006,26 SHawwal 1427 A.H.,Working Day,,"7.30 am,7:15AM",peshawar,34.0043,71.5448,kpk,"Fayaz Khalil Shaheed
Chowk",attack on Convoy,high,open,Police & Rangers van,police_rangers,,,1,,2,1,0.0,,17.275,63.095
2006-12-03,2006,12 Thw al-Qi`dah 1427 A.H.,Holiday,weekend,,bannu,32.9861,70.6042,kpk,Speen Tangi-Kohatbannu road,police_rangers,high,open,,police_rangers,,,1,,1,1,0.0,,4.705,40.469
2007-01-22,2007,3 MuHarram 1428 A.H,Working Day,,10:30:00 AM,waziristan,32.9746,70.1456,fata,"Miltary convoy near Mir ali north
Wazirstan ",attack on Convoy,high,open,Military convoy,military,,4,5,23,25,1,0.0,,2.325,36.185
2007-01-26,2007,7 MuHarram 1428 A.H,Working Day,,2:37:00 PM,islamabad,33.718,73.0718,capital,IslamabadMarriott Hotal ,hotel,medium,closed,Indian High Commission Function,foreigner,,1,2,5,7,1,0.0,['poly clinic hospital'],16.3,61.34
2007-01-27,2007,8 MuHarram 1428 A.H,Working Day,,8:40:00 PM,peshawar,34.0043,71.5448,kpk,near Mosque in QissaKhawani Bazaar,religious,medium,closed,Muharram procession about to start,civilian,shiite,13,15,30,60,1,0.0,['lady reading hospital'],15.165,59.297
2007-01-29,2007,10 MuHarram 1428 A.H,Holiday,ashura,,d.g khan,31.8238,70.9095,kpk,Checkpost Dera Ismial Khan ,police_rangers,high,open,Muharram procession,civilian,shiite,2,3,,7,1,0.0,['dik headquarters hospital'],17.745,63.941
2007-02-03,2007,15 MuHarram 1428 A.H.,Working Day,,6:17:00 AM,lakki marwat,32.6018,70.9148,kpk,"Ghazanikhel Market 
Laik marwat",market,low,open,,civilian,,,1,,,1,0.0,,17.52,63.536
2007-02-03,2007,15 MuHarram 1428 A.H.,Working Day,,12:15:00 PM,tank,31.8238,70.9095,kpk,Military Convoy Barakhel area-tank,attack on Convoy,high,open,Military convoy,military,,,2,7,8,1,0.0,['cmh  dera'],19.935,67.883
2007-02-06,2007,18 MuHarram 1428 A.H.,Working Day,,"8:50:00 PM,9:10 PM",islamabad,33.718,73.0718,capital,IslamabadAirport ,airport,high,open,,civilian,,,1,3,10,1,0.0,,16.635,61.943
2007-02-17,2007,29 MuHarram 1428 A.H,Working Day,,11:05:00 AM,quetta,30.2095,67.0182,balochistan,"QuettaDistrict court senior civil
 judge District Court",government,high,closed,,civilian,,16,17,30,35,1,0.0,['quttea civil hospital bolan medical hospital'],8.72,47.696
2007-03-29,2007,10 Raby` al-awal 1428 A.H,Working Day,,11:45 AM,gujrat,32.5737,74.0786,punjab,"Army training area guliana 
near Kharian Contonment",military,high,open,,military,,1,2,6,8,1,0.0,['combined military hospital'],25.595,78.071
2007-04-28,2007,11 Raby` al-THaany 1428 A.H.,Working Day,,6:55 PM,charsadda,34.1509,71.7359,kpk,"Federal Interior Minister Speech 
rallyy hometown Charsadda",parks_grounds,low,open,Rally Charsadda,government official,,25,35,29,60,1,0.0,['district headquarters hospital lady reading hospital'],28.055,82.499
2007-05-15,2007,28 Raby` al-THaany 1428 A.H,Working Day,,12:55:00 PM,peshawar,34.0043,71.5448,kpk,PeshawarHotel ,hotel,medium,closed,,foreigner,sunni,22,26,12,35,1,0.0,['lady reading hospital'],31.1,87.98
2007-05-28,2007,11 Jumaada al-awal 1428 A.H,Working Day,,About 12pm,tank,32.226,70.3761,kpk,Boltonabad aera,attack on Convoy,high,open,rammed the vehicle into FC vehicle,military,,,3,,2,1,0.0,,24.935,76.883
2007-07-04,2007,19 Jumaada al-THaany 1428 A.H,Working Day,,10:25am,waziristan,32.9746,70.1456,fata,Miltary convoy in bannu Gurbaz area,attack on Convoy,high,open,Military convoy,military,,8,10,9,12,1,0.0,['cmh peshawar'],26.975,80.555
2007-07-12,2007,27 Jumaada al-THaany 1428 A.H,Working Day,,,swat,35.2227,72.4258,kpk,Security Force convoy in mingora,attack on Convoy,high,open,Military convoy,military,,6,7,4,8,1,0.0,['agency headquarters hospital'],31.74,89.132
2007-07-12,2007,27 Jumaada al-THaany 1428 A.H,Working Day,,4:30:00 PM,waziristan,32.9746,70.1456,fata,Political Agent Office in Miranshah,government,high,closed,,government official,,2,4,,3,1,0.0,,31.39,88.502
2007-07-14,2007,29 Jumaada al-THaany 1428 A.H,Working Day,,2:00:00 PM,waziristan,32.9746,70.1456,fata,Razmak town’s Daznaray area-20kms to the north of Miramshah,attack on Convoy,high,open,Frontier Constabulary convoy,military,,23,24,26,29,1,0.0,['cmh bannu hospital'],26.02,78.836
2007-07-15,2007,1 Rajab 1428 A.H,Holiday,weekend,"3:30 PM,4:00:00 PM,4:15PM",d.g khan,31.8238,70.9095,kpk,Police & Rangers recruitment center,police_rangers,high,closed,recruitment process in progress,police_rangers,,25,30,50,61,1,0.0,['district headquarters hospital'],28.82,83.876
2007-07-15,2007,1 Rajab 1428 A.H,Holiday,weekend,"7:00,7:40 AM",swat,35.2227,72.4258,kpk,Matta,attack on Convoy,high,open,Police & Rangers bus going from Kabal to Matta,police_rangers,,17,20,40,47,1,0.0,,27.255,81.059
2007-07-17,2007,3 Rajab 1428 A.H,Working Day,,8:27:00 AM,islamabad,33.718,73.0718,capital,outside the venue of distric bar convention council Islamabad,government,high,open,Chief Justice Iftikhar muhammad ch had to address overthere,government official,,16,17,50,70,1,0.0,['fedral govt services hospital pims'],28.875,83.975
2007-07-17,2007,3 Rajab 1428 A.H,Working Day,,1:30:00 PM,waziristan,32.9746,70.1456,fata,"Security check post Miramshah 
North Wazirstan ",military,high,open,,military,,,4,2,3,1,0.0,['cmh bannu hospital'],26.945,80.501
2007-07-19,2007,5 Rajab 1428 A.H,Working Day,,8:40:00 AM,lasbela,25.8377,66.5224,balochistan,Industrial town hub baluchistan ,attack on Convoy,high,open,chinese engineers were going from Karachito Hub,foreigner,christian,28,30,28,50,1,0.0,,32.395,90.311
2007-07-19,2007,5 Rajab 1428 A.H,Working Day,,7:50:00 AM,hangu,33.5351,71.0713,kpk,Training Center in Hangu,police_rangers,high,closed,,police_rangers,,6,8,30,35,1,0.0,,30.735,87.323
2007-07-19,2007,5 Rajab 1428 A.H,Working Day,,,kohat,33.5833,71.4333,kpk,KohatMosque ,religious,medium,closed,,religious,sunni,15,20,8,58,1,0.0,['cmh kohat'],30.275,86.495
2007-07-20,2007,6 Rajab 1428 A.H,Working Day,,"12:30:00 PM,11:00AM",waziristan,32.9746,70.1456,fata,"Security check post Miramshah 
North Wazirstan ",military,high,open,,military,,,4,5,6,1,0.0,,28.375,83.075
2007-07-27,2007,13 Rajab 1428 A.H,Working Day,,5:25 PM,islamabad,33.718,73.0718,capital,near Hotel in Abpara market,hotel,medium,closed,,police_rangers,,14,15,50,70,1,0.0,['federal government services hospitalcapital development authority hospital'],26.39,79.502
2007-08-03,2007,20 Rajab 1428 A.H.,Working Day,,Night,swat,35.2227,72.4258,kpk,District Swatgora village matta,attack on Convoy,low,open,,civilian,,,2,5,6,1,0.0,,28.01,82.418
2007-08-04,2007,21 Rajab 1428 A.H,Working Day,,10:30am,kuram agency,32.9746,70.1456,fata,Parachinar,transport,low,open,,civilian,sunni,9,23,35,43,1,0.0,['agency headqurters hospital'],25.835,78.503
2007-08-17,2007,4 SHa`baan 1428 A.H,Working Day,,,tank,32.226,70.3761,kpk, Military Convoys in Tankdistrict,attack on Convoy,high,open,,military,,,,3,5,1,0.0,,26.185,79.133
2007-08-19,2007,6 SHa`baan 1428 A.H,Holiday,weekend,,waziristan,32.9746,70.1456,fata,"North Wazirstan Mirali Military
 checkpost ",military,high,open,,military,,,2,,2,1,0.0,,29.01,84.218
2007-08-19,2007,6 SHa`baan 1428 A.H,Holiday,weekend,,bannu,32.9861,70.6042,kpk,Bannu Police & Rangers Check post ,police_rangers,high,open,,police_rangers,,,1,,4,1,0.0,,29.965,85.937
2007-08-20,2007,7 SHa`baan 1428 A.H,Working Day,,9:00:00 AM,hangu,33.5351,71.0713,kpk,"Checkpost on thall-parachinar road/kurram road
 mandori village ",military,high,open,,military,,3,7,14,18,1,0.0,['nawagai hospital'],27.195,80.951
2007-08-24,2007,11 SHa`baan 1428 A.H,Working Day,,,waziristan,32.9746,70.1456,fata,miranshah Military convoys ,attack on Convoy,high,open,military convoy,military,,6,7,22,37,2,0.0,['bannu hospital'],28.365,83.057
2007-08-26,2007,13 SHa`baan 1428 A.H,Holiday,weekend,,shangla,34.8015,72.757,kpk,Machaar area of Shangla District ,police_rangers,high,open,,police_rangers,,,4,,2,1,0.0,,27.475,81.455
2007-09-01,2007,19 SHa`baan 1428 A.H,Working Day,,10:00:00 AM,bajaur agency,34.8718,71.5249,fata,Truck carrying security personeel was attacked in Mamond area,attack on Convoy,high,open,truck carrying security personnel,military,,3,7,4,9,1,0.0,['agency headquarters hospital'],28.84,83.912
2007-09-01,2007,19 SHa`baan 1428 A.H,Working Day,,,waziristan,32.3202,69.8597,fata,check-post of the troops in the Jandola area of South Waziristan.,military,high,closed,,military,,,0,,,1,0.0,,29.58,85.244
2007-09-04,2007,22 SHa`baan 1428 A.H,Working Day,,7:15:00 AM,rawalpindi,33.6058,73.0437,punjab,1.Qasim Market Defence Ministry Bus,attack on Convoy,high,open,,military,,18,25,,,2,0.0,['district headquarters rwprwp general hospital'],27.15,80.87
2007-09-04,2007,22 SHa`baan 1428 A.H,Working Day,,7:15:00 AM,rawalpindi,33.6058,73.0437,punjab,Near R.A Bazar behind general Headquarters ,market,low,open,,military,,,7,,,1,0.0,['district headquarters rwprwp general hospital'],27.15,80.87
2007-09-11,2007,29 SHa`baan 1428 A.H,Working Day,,,d.g khan,31.8238,70.9095,kpk,Passanger van at Bannu adda/chungi,attack on Convoy,low,open,,civilian,,17,19,16,19,1,0.0,['di khan headquarter hospital'],30.815,87.467
2007-09-13,2007,1 RamaDHaan 1428 A.H,Working Day,,7:15:00 PM,haripur,34.0011,72.9372,kpk,army officers mess in Tarbela ghazi,military,high,closed, military convoy,military,,15,20,11,46,1,0.0,['wapda hospital    cmh pindi cmh attock'],26.975,80.555
2007-09-22,2007,10 RamaDHaan 1428 A.H,Working Day,,2:00:00 AM,tank,32.226,70.3761,kpk,military convoy going from Tank,attack on Convoy,high,open, ,military,,,5,3,10,1,0.0,,24.705,76.469
2007-10-01,2007,19 RamaDHaan 1428 A.H,Working Day,,8:30:00 AM,bannu,32.9861,70.6042,kpk,checkpost near Dawa bridge/Durani Abshar Chowk,police_rangers,high,open,,police_rangers,,,16,29,32,1,0.0,['district headquartar hospital'],24.57,76.226
2007-10-18,2007,6 SHawwal 1428 A.H,Working Day,,12:00 m,karachi,24.9918,66.9911,sindh,"Benazir Survives midnight 
carnage Karsaz bridge Sharea Faisal",attack on Convoy,high,open,Rally ppp,government official,,125,145,100,550,2,0.0,['jinnah hospital liaquat hospital'],28.025,82.445
2007-10-25,2007,13 SHawwal 1428 A.H,Working Day,,2:45:00 PM,swat,35.2227,72.4258,kpk,Mingora Police & Rangers Line ,attack on Convoy,high,open,,military,,20,38,28,35,1,0.0,['saidu shrif hospital'],21.025,69.845
2007-10-30,2007,18 SHawwal 1428 A.H,Working Day,,11:50:00 AM,rawalpindi,33.6058,73.0437,punjab,"Rawalpindi Police & Rangers checkpoint 
security zone",police_rangers,high,open,,military,,7,8,18,31,1,0.0,['cmh civil hospital'],20.905,69.629
2007-11-01,2007,20 SHawwal 1428 A.H,Working Day,,7:10:00 AM,sargodha,32.0791,72.6718,punjab,PAF Bus on faisalabad road-Sargodha ,attack on Convoy,high,open,PAF Bus,military,,8,10,27,40,1,10.0,['paf sargodha cmh rwp'],20.82,69.476
2007-11-09,2007,28 SHawwal 1428 A.H,Holiday,iqbal day,4:15:00 PM,peshawar,34.0043,71.5448,kpk,"Peshawar Federal minister 
political amir muqam house",residence,low,closed,Political Affairs meeting,government official,,3,4,2,5,1,5.5,['hayatabad medical complex'],19.445,67.001
2007-11-24,2007,14 Thw al-Qi`dah 1428 A.H,Working Day,,7:40:00 AM,rawalpindi,33.6058,73.0437,punjab,Bus carrying ISI officals parked outside Hamza Camp faizabad ,attack on Convoy,high,open,Hamza camp,military,,17,38,,35,1,0.0,['military hospital rawalpindi hospital'],15.555,59.999
2007-11-24,2007,14 Thw al-Qi`dah 1428 A.H,Working Day,,7:50:00 AM,rawalpindi,33.6058,73.0437,punjab,GHQ,military,high,open,,military,,,1,2,5,1,0.0,,15.555,59.999
2007-12-04,2007,24 Thw al-Qi`dah 1428 A.H,Working Day,,,peshawar,34.0043,71.5448,kpk,Checkpost high-security cantonment area babar road,military,high,open,,military,,,1,,0,1,0.0,,14.73,58.514
2007-12-09,2007,29 Thw al-Qi`dah 1428 A.H,Holiday,weekend,"11:15:00 AM,12:30 PM",swat,35.2227,72.4258,kpk,Ningolai Security checkpost,police_rangers,high,open,,police_rangers,,10,13,,2,1,12.5,,11.925,53.465
2007-12-10,2007,30 Thw al-Qi`dah 1428 A.H,Working Day,,"7:24:00 AM,7:30AM",attock,33.7645,72.3667,punjab,Truck carrying school children near Fauji gate Pakistan Aeranautical Complex,attack on Convoy,low,open,,civilian,,,0,7,22,1,0.0,['cmh rwp'],12.13,53.834
2007-12-13,2007,3 Thw al-Hijjah 1428 A.H,Working Day,,4:50:00 PM,quetta,30.2095,67.0182,balochistan,military Checkpost ,military,high,open,,military,,5,12,22,23,2,0.0,['cmh hospital'],4.16,39.488
2007-12-15,2007,5 Thw al-Hijjah 1428 A.H,Working Day,,9:25:00 AM,nowshehra,34.0322,73.0944,kpk,Noshera security check post,military,high,open,,military,,5,6,11,20,1,0.0,['cmh nowshera'],9.515,49.127
2007-12-17,2007,7 Thw al-Hijjah 1428 A.H,Working Day,,12:30:00 PM,kohat,33.5833,71.4333,kpk,Kohatcantt-fountain round about-near army public school,military,high,open,recruits returning to barracks after morning exercise,military,,,12,2,5,1,5.0,['combine military hospital'],11.345,52.421
2007-12-21,2007,13 Thw al-Hijjah 1428 A.H,Holiday,eid-ul-azha,,charsadda,34.1509,71.7359,kpk,CharsaddaJamiya Masjid ,religious,medium,closed,Masjid,civilian,sunni,,60,,200,1,5.5,,15.0,59.0
2007-12-23,2007,13 Thw al-Hijjah 1428 A.H,Holiday,weekend,6:00:00 PM,swat,35.2227,72.4258,kpk,military convoy hit in mingora,attack on Convoy,high,open,,military,,9,14,,23,1,0.0,,12.76,54.968
2007-12-27,2007,17 Thw al-Hijjah 1428 A.H,Working Day,,5:10:00 PM,rawalpindi,33.6058,73.0437,punjab,Rawalpindi Liaquat Bagh Park,parks_grounds,low,open,attack on Benazir Bhutto,government official,,21,30,48,70,1,0.0,['rawalpindi general hospital'],10.21,50.378
2008-01-07,2008,28 Thw al-Hijjah 1428 A.H,Working Day,,11:15:00 AM,swat,35.2227,72.4258,kpk,infront of frontier house kabal,military,high,open,Security forces ,military,,,,12,13,1,0.0,,6.77,44.186
2008-01-10,2008,1 MuHarram 1429 A.H,Working Day,,11:40:00 AM,lahore,31.5451,74.3407,punjab,LahoreHigh court ,government,high,open,lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the Police & Rangers officials outside the court,police_rangers,,24,26,73,80,1,15.0,"['mayo', 'ganga ram hospital']",13.89,57.002
2008-01-15,2008,6 MuHarram 1429 A.H,Working Day,,10:30:00 AM,mohmand agency,32.9746,70.1456,fata,checkpoint of security forces in Khapakh Kando near Ghalanai,military,high,open,Frontier Constabulary,military,,1,1,,,1,0.0,['ghalani hospital'],5.145,41.261
2008-01-17,2008,8 MuHarram 1429 A.H,Working Day,,"6:00:00 PM,6:55PM",peshawar,34.0043,71.5448,kpk,Mirza Qasim baig Imambargah Jangi Mohallah-Kohati,religious,medium,closed,Imambargah,religious,shiite,10,12,,25,1,3.0,['lady reading hospital'],12.34,54.212
2008-02-01,2008,23 MuHarram 1429 A.H,Working Day,,4:30:00 PM,waziristan,32.9746,70.1456,fata,Kajhori checkpost north waziristan,police_rangers,high,open,Checkpost ,police_rangers,,5,7,13,15,1,0.0,['cmh bannu mh bannu'],2.475,36.455
2008-02-04,2008,26 MuHarram 1429 A.H.,Working Day,,"7:24:00 AM,7:25AM,7:30 AM",rawalpindi,33.6058,73.0437,punjab,Infront of NLC office near GHQ Rwp,attack on Convoy,high,open,bus carrying students and officials of army medical college-,military,,8,10,27,47,1,6.5,['cmh mh  dhq'],8.42,47.156
2008-02-05,2008,27 MuHarram 1429 A.H,Working Day,,NA ,quetta,30.2095,67.0182,balochistan,QuettaKhilji Conlony,parks_grounds,low,open,Khilji colony,civilian,,,1,,1,1,0.0,,-2.37,27.734
2008-02-09,2008,2 safar 1429 A.H.,Working Day,,NA ,charsadda,34.1509,71.7359,kpk,Nakai in Charsadda,residence,low,closed,Awami National Party meeting was in progress,government official,,25,27,35,51,1,0.0,['lady reading hospital  dhq charsadda'],7.935,46.283
2008-02-11,2008,4 safar 1429 A.H,Working Day,,12:55:00 PM,waziristan,32.9746,70.1456,fata,Aidak village in mirali-near miranshah,religious,low,open,ANP gathring,government official,,6,10,9,13,1,0.0,,2.245,36.041
2008-02-16,2008,9 safar 1429 A.H.,Working Day,,,swat,35.2227,72.4258,kpk,Mingora-army media center on saidu sharif road,military,high,closed,army media center and base near Gul Kadda,military,,2,3,14,18,1,0.0,['district headquarters hospital saidu sharif'],12.725,54.905
2008-02-16,2008,9 safar 1429 A.H.,Working Day,,evening,kuram agency,35.2227,72.4258,fata,PPP election office in Eidgah market of Parachinar bazar,government,high,closed,,government official,,38,47,109,110,1,0.0,['agency headquarter hospital'],12.725,54.905
2008-02-25,2008,18 safar 1429 A.H,Working Day,,2:45:00 PM,rawalpindi,33.6058,73.0437,punjab,Rawalpindi-R.A bazar mall road Sadar-nadira suift center,attack on Convoy,high,closed,near Surgeon-gernal car on signal,military,,,8,20,30,1,4.5,['cmh mh contonment hospital  rwp general hospital  dhq hospital'],14.47,58.046
2008-02-29,2008,22 safar 1429 A.H.,Working Day,,8:00 PM,swat,32.935,70.6688,kpk,SwatMingora DSP Funeral,parks_grounds,low,open,,police_rangers,,38,45,40,100,1,0.0,['saidu shrif hospital'],19.85,67.73
2008-03-01,2008,23 safar 1429 A.H.,Working Day,,,bajaur agency,34.8718,71.5249,fata,Khar-jardar area,attack on Convoy,high,open,,military,,,2,,23,1,0.0,,19.375,66.875
2008-03-02,2008,24 safar 1429 A.H.,Holiday,weekend,11:00:00 AM,dara adam khel,33.6854,71.5131,kpk,Dara adamkhel Jirga ,parks_grounds,low,open,peace Jirga ,anti_militants,,40,43,50,60,1,0.0,['lady reading hospital hayatabad medical complex'],19.455,67.019
2008-03-04,2008,26 safar 1429 A.H,Working Day,,1:05PM,lahore,31.5451,74.3407,punjab,Navy war college mall road Lahore,military,high,closed,Navy college ,military,,4,8,15,24,2,0.0,['cmh service hospital'],20.655,69.179
2008-03-11,2008,3 Raby` al-awal 1429 A.H,Working Day,,"9:15 AM,9:20:00 AM",lahore,31.5451,74.3407,punjab,FIA building Temple road near The Mall-near regal chowk,government,high,closed,,government official,,26,31,175,200,1,50.0,['ganga ram hospita mayo hospital'],21.295,70.331
2008-03-11,2008,3 Raby` al-awal 1429 A.H,Working Day,,9:20:00 AM,lahore,31.5451,74.3407,punjab,Bungalow no 83/F Model Town-an advertising agency office,residence,low,closed,,civilian,,3,6,,12,1,30.0,['ganga ram hospital'],21.295,70.331
2008-03-17,2008,9 Raby` al-awal 1429 A.H.,Working Day,,,swat,35.2227,72.4258,kpk,Mingora Police & Rangers Lines ,police_rangers,high,closed,,police_rangers,,2,3,5,7,1,0.0,['saidu sharif hospital'],22.5,72.5
2008-03-20,2008,12 Raby` al-awal 1429 A.H.,Holiday,eid milad un-nabi,3:00 PM,waziristan,32.3202,69.8597,fata,Army Camp at Zari noor-Wana,military,high,closed,,military,,,5,9,11,1,0.0,['military hospital'],18.655,65.579
2008-05-01,2008,25 Raby` al-THaany 1429 A.H,Holiday,labour day,Thursday Morning,khyber agency,34.0211,71.2874,fata,Takia-Bar Qambarkhel Mosque,religious,medium,closed,,religious,sunni,,2,17,30,1,0.0,,28.985,84.173
